Feature,Coefficient,Odds_Ratio
SiteName_(01) Between Locker Rm 6 & PAL-6,-0.04502055196414835,0.9559778344090246
Location_Assembly,-0.04600672765993429,0.9550355370147833
SiteName_By Tank11,-0.046107242938322864,0.954939546176263
SiteName_(12) By Fragrance Stairwell,-0.0461502759290219,0.9548984531558383
SiteName_(08) By Door 2292,-0.04644291777333523,0.9546190507957799
SiteName_By K75,-0.04851403417498703,0.9526439696398488
SiteName_By Aux09,-0.04920857650396955,0.9519825477978058
SiteName_By Tank05,-0.050038895346404995,0.9511924268222609
SiteName_(02) Between Locker Rm 5 & PAL-5,-0.0511143764361835,0.9501699872602314
SiteName_By Tank12,-0.05258460181308204,0.9487740496554901
SiteName_By Tank01,-0.05375989953133558,0.9476596127056772
SiteName_By Tank02,-0.05645082710984842,0.9451129572881662
SiteName_By Tank07,-0.05738389168573256,0.9442315171517442
SiteName_By Aux06,-0.05765063991133238,0.9439796786602173
SiteName_By K50/51,-0.05773770221077543,0.9438974971962711
AreaName_WC 5 - East,-0.058262667386854976,0.9434021139213153
SiteName_By Tank10,-0.06135290437676405,0.9404912777158086
SiteName_By Tank08,-0.0623301689328239,0.9395726178847731
SiteName_Drop #5,-0.0645988852961454,0.9374434103093484
SiteName_By Tank04,-0.06480586770329627,0.937249396095172
SiteName_By Tank03,-0.06582902724661137,0.9362909308461387
SiteName_By Aux05,-0.06603622720027219,0.9360969515056036
Location_Center Room,-0.06620842800887626,0.9359357687319227
SiteName_Lane #9,-0.06996106790359793,0.9324301206586572
SiteName_Between D08 & D09,-0.0709513338079099,0.9315072239340132
SiteName_BSC 893,-0.07769009439871986,0.9252511226223757
SiteName_Drop #6,-0.07823913228256035,0.9247432641335227
SiteName_By K54/55,-0.08218357291114925,0.921102853642959
SiteName_By K52/53,-0.08274667227624448,0.9205843272155375
SiteName_Drop #9,-0.08441250454896586,0.9190520647339817
SiteName_Pre-Weigh Room,-0.0863043492110402,0.9173150046331752
Location_Pre-Weigh Room,-0.0863043492110402,0.9173150046331752
AreaName_AGI Pre-Weigh,-0.0863043492110402,0.9173150046331752
SiteName_Drop #11,-0.08823525176138348,0.9155454677027396
SiteName_R10,-0.08977799234573204,0.9141341075141447
SiteName_By K27/28,-0.09084814441254785,0.9131563682677902
DepartmentName_Filling and Assembly,-0.09320201147669831,0.9110094473426182
SiteName_Between D10 & D11,-0.09447370981913673,0.9098516544761549
SiteName_Portable Tote,-0.09543157460463714,0.9089805568797621
SiteName_By K31/32,-0.09570144298631979,0.9087352848649655
AreaName_<2> Media Storage (#2321),-0.09614892422060747,0.9083287338468129
SiteName_Between Air Compressor & D01,-0.09917824330699883,0.9055812798351548
AreaName_(BF) Room #4,-0.09998685090348822,0.9048493159087198
SiteName_Melville Warehouse,-0.10263478359333826,0.9024565052246607
Location_Center of Warehouse,-0.10263478359333826,0.9024565052246607
AreaName_<3>Media Prep (#2322),-0.10606181385905034,0.8993690528857958
SiteName_Between D02 & D03,-0.11007250491593455,0.8957691852724837
SiteName_Drop #8,-0.11092690762928806,0.8950041645144932
AreaName_<6>Receiving (#2323),-0.11139226685453185,0.8945877629655705
AreaName_ASR Mass storage,-0.11340126410860436,0.8927923427073002
SiteName_R28,-0.11458784954268145,0.8917335965883747
SiteName_Drop #3,-0.1206820697265007,0.8863157013967298
AreaName_<5>Gowning (#2319),-0.12076548237695041,0.8862417745382016
SiteName_Drop #10,-0.12153349491141009,0.8855613910517607
SiteName_R53,-0.1264849284971772,0.8811874302622776
