Mid,DepartmentName,AreaName,SiteName,Location,Alert,Action,SampleDate,CFU,Zone,Frequency,Action/Alert Count,Air_AirUnits.AirType,Year,Month,MonthName,DayOfYear,Season
49495,Filling and Assembly,WC 5 - East,R30,Staging,30.0,40.0,2024-05-15,5.0,Clean,Monthly,,(CFU/160L),2024,5,May,136,Spring
49497,Filling and Assembly,WC 5 - East,R30,Staging,30.0,40.0,2024-06-13,5.0,Clean,Monthly,,(CFU/160L),2024,6,June,165,Summer
49501,Filling and Assembly,WC 5 - East,R30,Staging,30.0,40.0,2024-07-12,5.0,Clean,Monthly,,(CFU/160L),2024,7,July,194,Summer
49502,Filling and Assembly,WC 5 - East,R30,Staging,30.0,40.0,2024-07-12,5.0,Clean,Monthly,,(CFU/160L),2024,7,July,194,Summer
49503,Filling and Assembly,WC 5 - East,R30,Staging,30.0,40.0,2024-07-12,5.0,Clean,Monthly,,(CFU/160L),2024,7,July,194,Summer
49509,Filling and Assembly,WC 5 - East,R30,Staging,30.0,40.0,2024-08-22,5.0,Clean,Monthly,,(CFU/160L),2024,8,August,235,Summer
49510,Filling and Assembly,WC 5 - East,R30,Staging,30.0,40.0,2024-08-23,5.0,Clean,Monthly,,(CFU/160L),2024,8,August,236,Summer
49511,Filling and Assembly,WC 5 - East,R30,Staging,30.0,40.0,2024-08-30,5.0,Clean,Monthly,,(CFU/160L),2024,8,August,243,Summer
49515,Filling and Assembly,WC 5 - East,R30,Staging,30.0,40.0,2024-09-30,5.0,Clean,Monthly,,(CFU/160L),2024,9,September,274,Fall
49517,Filling and Assembly,WC 5 - East,R30,Staging,30.0,40.0,2024-10-01,5.0,Clean,Monthly,,(CFU/160L),2024,10,October,275,Fall
49519,Filling and Assembly,WC 5 - East,R30,Staging,30.0,40.0,2024-10-02,5.0,Clean,Monthly,,(CFU/160L),2024,10,October,276,Fall
